id_agente,total_casos,casos_ganados,casos_perdidos,winrate
508,1195,558,637,46.69456066945607
509,1336,621,715,46.48203592814371
510,12,5,7,41.66666666666667
511,55,29,26,52.72727272727272
512,1441,676,765,46.911866759195
513,1084,525,559,48.43173431734317
515,308,148,160,48.05194805194805
517,228,112,116,49.122807017543856
518,283,120,163,42.40282685512368
519,2025,959,1066,47.358024691358025
520,1308,615,693,47.018348623853214
521,113,57,56,50.442477876106196
522,52,22,30,42.30769230769231
524,1493,709,784,47.48827863362358
526,34,17,17,50.0
527,1244,583,661,46.864951768488744
528,11,9,2,81.81818181818183
529,81,39,42,48.148148148148145
530,95,45,50,47.368421052631575
531,677,350,327,51.698670605612996
532,1070,509,561,47.570093457943926
534,221,115,106,52.03619909502263
537,946,440,506,46.51162790697674
538,123,64,59,52.03252032520326
539,1496,709,787,47.393048128342244
540,879,429,450,48.80546075085324
541,950,448,502,47.1578947368421
542,764,377,387,49.345549738219894
543,1155,561,594,48.57142857142857
544,1029,499,530,48.49368318756074
545,1164,551,613,47.33676975945017
546,1053,510,543,48.433048433048434
547,1243,611,632,49.15526950925181
548,1324,631,693,47.65861027190332
549,1398,690,708,49.35622317596567
551,421,192,229,45.605700712589076
552,1317,641,676,48.6712224753227
553,821,402,419,48.96467722289891
554,40,20,20,50.0
555,1202,580,622,48.25291181364393
559,893,409,484,45.8006718924972
560,1199,605,594,50.45871559633027
561,166,74,92,44.57831325301205
562,104,51,53,49.03846153846153
564,820,398,422,48.536585365853654
566,1667,824,843,49.430113977204556
567,888,436,452,49.0990990990991
568,1048,503,545,47.99618320610687
569,4,2,2,50.0
570,265,124,141,46.79245283018868
571,501,215,286,42.91417165668663
572,69,40,29,57.971014492753625
573,74,40,34,54.054054054054056
574,151,78,73,51.65562913907284
575,77,42,35,54.54545454545454
576,740,375,365,50.67567567567568
577,1159,540,619,46.59188955996549
578,1351,609,742,45.07772020725388
579,13,6,7,46.15384615384615
580,58,25,33,43.103448275862064
581,5,1,4,20.0
582,16,11,5,68.75
583,1485,675,810,45.45454545454545
584,154,78,76,50.649350649350644
585,805,380,425,47.20496894409938
586,606,295,311,48.67986798679868
587,537,254,283,47.299813780260706
588,135,64,71,47.40740740740741
589,58,31,27,53.44827586206896
590,1121,531,590,47.368421052631575
591,1100,519,581,47.18181818181818
592,34,20,14,58.82352941176471
593,1354,665,689,49.113737075332345
595,9,5,4,55.55555555555556
596,1135,536,599,47.22466960352423
597,148,81,67,54.729729729729726
599,1106,544,562,49.186256781193485
600,4,3,1,75.0
601,334,169,165,50.59880239520959
602,643,294,349,45.72317262830482
603,1416,675,741,47.66949152542373
604,1022,504,518,49.31506849315068
605,8,5,3,62.5
607,7,3,4,42.857142857142854
608,1021,475,546,46.523016650342804
609,308,140,168,45.45454545454545
611,29,11,18,37.93103448275862
612,59,29,30,49.152542372881356
613,192,87,105,45.3125
614,51,24,27,47.05882352941176
615,275,144,131,52.36363636363637
616,1332,655,677,49.174174174174176
618,4,1,3,25.0
619,131,56,75,42.74809160305343
620,317,141,176,44.479495268138805
621,16,9,7,56.25
622,685,320,365,46.715328467153284
623,265,130,135,49.056603773584904
624,109,49,60,44.95412844036697
625,693,361,332,52.09235209235209
626,161,63,98,39.130434782608695
627,1193,552,641,46.2699077954736
628,1051,506,545,48.14462416745956
629,218,98,120,44.95412844036697
630,413,192,221,46.48910411622276
631,823,398,425,48.359659781287974
632,1208,575,633,47.599337748344375
633,1164,546,618,46.90721649484536
634,860,395,465,45.93023255813954
635,648,290,358,44.75308641975309
636,160,84,76,52.5
637,715,356,359,49.790209790209786
638,681,333,348,48.89867841409692
639,23,10,13,43.47826086956522
640,22,10,12,45.45454545454545
641,30,9,21,30.0
642,7,1,6,14.285714285714285
643,19,14,5,73.68421052631578
644,22,13,9,59.09090909090909
645,849,382,467,44.994110718492344
646,648,316,332,48.76543209876543
647,169,71,98,42.01183431952663
648,205,106,99,51.707317073170735
649,898,433,465,48.218262806236076
650,817,383,434,46.87882496940025
651,862,414,448,48.027842227378194
652,973,425,548,43.67934224049332
653,1058,500,558,47.25897920604915
654,1016,484,532,47.63779527559055
655,51,27,24,52.94117647058824
656,153,82,71,53.59477124183007
657,66,29,37,43.93939393939394
658,1187,593,594,49.95787700084246
659,34,15,19,44.11764705882353
660,1132,558,574,49.293286219081274
661,6,3,3,50.0
662,1001,492,509,49.150849150849155
663,699,339,360,48.497854077253216
664,72,40,32,55.55555555555556
665,5,1,4,20.0
666,19,9,10,47.368421052631575
667,15,10,5,66.66666666666666
668,85,46,39,54.11764705882353
669,1121,476,645,42.462087421944695
670,1008,489,519,48.51190476190476
671,29,17,12,58.620689655172406
672,1082,504,578,46.58040665434381
673,995,457,538,45.92964824120603
674,35,17,18,48.57142857142857
675,93,47,46,50.53763440860215
676,5,2,3,40.0
677,87,41,46,47.12643678160919
679,388,181,207,46.649484536082475
680,1371,627,744,45.73304157549234
681,478,219,259,45.81589958158996
682,1128,514,614,45.56737588652482
683,10,5,5,50.0
684,894,408,486,45.63758389261745
685,48,29,19,60.416666666666664
686,222,107,115,48.1981981981982
687,47,26,21,55.319148936170215
688,271,142,129,52.398523985239855
689,179,81,98,45.2513966480447
690,1183,588,595,49.70414201183432
691,22,13,9,59.09090909090909
692,1117,546,571,48.88093106535363
693,583,302,281,51.80102915951973
694,3,0,3,0.0
695,4,2,2,50.0
696,104,54,50,51.92307692307693
697,245,122,123,49.795918367346935
698,339,170,169,50.14749262536873
699,1,0,1,0.0
700,20,7,13,35.0
701,904,390,514,43.141592920353986
702,241,114,127,47.30290456431535
703,54,23,31,42.592592592592595
704,1,0,1,0.0
705,742,352,390,47.43935309973046
706,923,435,488,47.12892741061755
707,77,39,38,50.649350649350644
708,387,198,189,51.162790697674424
709,114,58,56,50.877192982456144
710,555,266,289,47.927927927927925
711,28,16,12,57.14285714285714
712,688,346,342,50.2906976744186
713,629,301,328,47.85373608903021
714,398,194,204,48.743718592964825
715,747,378,369,50.602409638554214
717,142,76,66,53.52112676056338
718,521,239,282,45.87332053742802
719,983,475,508,48.32146490335707
720,376,198,178,52.659574468085104
721,18,8,10,44.44444444444444
722,661,330,331,49.92435703479576
723,606,320,286,52.8052805280528
724,514,243,271,47.276264591439684
725,456,228,228,50.0
726,554,268,286,48.375451263537904
727,420,208,212,49.523809523809526
728,541,281,260,51.940850277264325
729,864,419,445,48.495370370370374
730,13,7,6,53.84615384615385
731,198,95,103,47.97979797979798
732,369,172,197,46.612466124661246
733,15,10,5,66.66666666666666
734,153,70,83,45.751633986928105
735,239,119,120,49.7907949790795
736,347,162,185,46.68587896253602
737,618,276,342,44.66019417475729
738,237,122,115,51.47679324894515
739,2,0,2,0.0
740,85,43,42,50.588235294117645
741,559,271,288,48.479427549194995
742,110,45,65,40.909090909090914
743,248,114,134,45.96774193548387
744,109,47,62,43.11926605504588
745,521,256,265,49.1362763915547
746,860,444,416,51.627906976744185
747,529,258,271,48.77126654064272
748,546,276,270,50.54945054945055
749,533,247,286,46.34146341463415
750,506,235,271,46.44268774703557
751,589,258,331,43.803056027164686
752,242,136,106,56.19834710743802
753,57,30,27,52.63157894736842
754,387,173,214,44.70284237726098
755,860,451,409,52.44186046511628
756,574,299,275,52.09059233449478
757,7,3,4,42.857142857142854
758,939,446,493,47.49733759318424
759,359,173,186,48.18941504178273
760,367,183,184,49.863760217983646
761,641,345,296,53.82215288611545
762,53,28,25,52.83018867924528
763,81,36,45,44.44444444444444
764,542,284,258,52.398523985239855
765,46,21,25,45.65217391304348
766,251,129,122,51.39442231075697
767,5,4,1,80.0
768,31,18,13,58.06451612903226
769,346,162,184,46.82080924855491
770,18,6,12,33.33333333333333
771,690,334,356,48.40579710144928
772,586,283,303,48.29351535836178
773,640,323,317,50.46874999999999
774,265,138,127,52.075471698113205
775,70,30,40,42.857142857142854
777,94,42,52,44.680851063829785
778,767,381,386,49.67405475880052
779,35,18,17,51.42857142857142
780,576,274,302,47.56944444444444
781,902,456,446,50.554323725055426
782,805,404,401,50.18633540372671
783,662,311,351,46.97885196374622
784,622,312,310,50.160771704180064
785,731,350,381,47.8796169630643
786,363,165,198,45.45454545454545
787,344,167,177,48.54651162790697
788,464,220,244,47.41379310344828
789,119,51,68,42.857142857142854
790,396,185,211,46.717171717171716
791,216,105,111,48.61111111111111
792,648,317,331,48.91975308641975
794,112,50,62,44.642857142857146
795,410,190,220,46.34146341463415
796,222,119,103,53.6036036036036
797,206,111,95,53.883495145631066
798,74,32,42,43.24324324324324
800,492,244,248,49.59349593495935
802,63,26,37,41.269841269841265
803,1,0,1,0.0
804,46,18,28,39.130434782608695
806,707,342,365,48.373408769448375
807,674,347,327,51.48367952522255
808,252,135,117,53.57142857142857
809,89,37,52,41.57303370786517
810,27,12,15,44.44444444444444
811,419,190,229,45.346062052505964
812,100,47,53,47.0
813,14,5,9,35.714285714285715
814,14,9,5,64.28571428571429
815,221,97,124,43.89140271493213
816,284,153,131,53.87323943661971
817,9,6,3,66.66666666666666
818,330,152,178,46.06060606060606
819,351,173,178,49.287749287749286
820,537,278,259,51.76908752327747
821,277,146,131,52.707581227436826
822,108,57,51,52.77777777777778
823,358,176,182,49.162011173184354
824,24,8,16,33.33333333333333
825,23,13,10,56.52173913043478
826,658,300,358,45.59270516717325
828,104,53,51,50.96153846153846
829,9,2,7,22.22222222222222
830,512,252,260,49.21875
831,470,224,246,47.65957446808511
832,9,2,7,22.22222222222222
833,548,268,280,48.9051094890511
834,344,183,161,53.19767441860465
835,43,23,20,53.48837209302325
836,97,57,40,58.76288659793815
837,27,13,14,48.148148148148145
838,330,154,176,46.666666666666664
839,230,117,113,50.8695652173913
840,397,191,206,48.11083123425693
842,19,8,11,42.10526315789473
843,242,109,133,45.04132231404959
844,291,145,146,49.828178694158076
845,16,6,10,37.5
846,214,98,116,45.794392523364486
847,23,13,10,56.52173913043478
848,38,20,18,52.63157894736842
849,6,1,5,16.666666666666664
850,13,7,6,53.84615384615385
851,67,37,30,55.223880597014926
852,451,228,223,50.554323725055426
853,147,70,77,47.61904761904761
854,1,1,0,100.0
855,274,132,142,48.175182481751825
856,410,213,197,51.951219512195124
857,202,96,106,47.524752475247524
858,313,163,150,52.07667731629393
859,258,118,140,45.73643410852713
860,5,2,3,40.0
861,199,98,101,49.246231155778894
862,338,159,179,47.0414201183432
863,345,177,168,51.30434782608696
864,227,115,112,50.66079295154186
865,26,15,11,57.692307692307686
866,16,8,8,50.0
867,215,110,105,51.162790697674424
868,458,222,236,48.47161572052402
869,511,241,270,47.162426614481404
870,255,113,142,44.31372549019608
871,346,156,190,45.08670520231214
872,401,184,217,45.885286783042396
873,340,167,173,49.11764705882353
874,35,21,14,60.0
875,118,65,53,55.08474576271186
876,42,16,26,38.095238095238095
877,24,12,12,50.0
878,8,4,4,50.0
879,3,1,2,33.33333333333333
880,1,0,1,0.0
881,4,1,3,25.0
882,4,2,2,50.0
883,170,90,80,52.94117647058824
884,276,126,150,45.65217391304348
885,195,99,96,50.76923076923077
886,154,75,79,48.701298701298704
887,265,110,155,41.509433962264154
888,31,15,16,48.38709677419355
889,99,49,50,49.494949494949495
890,4,4,0,100.0
891,279,148,131,53.04659498207885
892,251,100,151,39.8406374501992
893,2,0,2,0.0
894,32,15,17,46.875
895,300,143,157,47.66666666666667
896,512,249,263,48.6328125
897,3,1,2,33.33333333333333
898,30,14,16,46.666666666666664
899,135,60,75,44.44444444444444
900,254,115,139,45.2755905511811
901,164,85,79,51.829268292682926
902,67,34,33,50.74626865671642
903,289,138,151,47.75086505190311
904,253,120,133,47.43083003952569
905,200,112,88,56.00000000000001
906,157,62,95,39.490445859872615
907,74,33,41,44.5945945945946
908,190,88,102,46.31578947368421
909,242,124,118,51.2396694214876
910,236,112,124,47.45762711864407
911,221,113,108,51.13122171945701
912,202,95,107,47.02970297029702
913,42,21,21,50.0
914,95,45,50,47.368421052631575
915,138,74,64,53.62318840579711
916,74,37,37,50.0
917,28,11,17,39.285714285714285
918,121,58,63,47.93388429752066
919,77,34,43,44.15584415584416
921,1,1,0,100.0
922,38,15,23,39.473684210526315
923,17,7,10,41.17647058823529
924,74,30,44,40.54054054054054
925,112,54,58,48.214285714285715
926,101,52,49,51.48514851485149
927,24,7,17,29.166666666666668
928,149,85,64,57.04697986577181
929,138,77,61,55.79710144927537
930,167,83,84,49.700598802395206
931,120,59,61,49.166666666666664
932,126,58,68,46.03174603174603
933,130,57,73,43.84615384615385
934,111,60,51,54.054054054054056
935,87,39,48,44.827586206896555
936,127,65,62,51.181102362204726
937,87,44,43,50.57471264367817
938,117,52,65,44.44444444444444
939,62,32,30,51.61290322580645
940,72,31,41,43.05555555555556
941,144,72,72,50.0
942,56,30,26,53.57142857142857
943,112,60,52,53.57142857142857
944,96,50,46,52.083333333333336
945,6,4,2,66.66666666666666
947,4,1,3,25.0
948,3,2,1,66.66666666666666
949,4,0,4,0.0
950,5,2,3,40.0
951,4,4,0,100.0
952,3,2,1,66.66666666666666
954,3,2,1,66.66666666666666
956,5,5,0,100.0
957,1,1,0,100.0
958,1,0,1,0.0
959,2,2,0,100.0
960,7,4,3,57.14285714285714
961,4,2,2,50.0
962,2,1,1,50.0
